SCHL,ESR,WKHP,WAGP,COW,INDP,OCCP,AGEP,SEX,RAC1P,MAR,NATIVITY,DRIVESP,HICOV,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,DIS,CIT,ENG,LANX,FER,poverty_status
21,1,40,8000,1,7380,1021,29,1,1,5,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
24,1,60,250000,1,6671,1021,33,1,1,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
,,,,,,,0,2,9,5,1,,1,2,2,2,1,2,2,2,2,1,,,,0
22,6,,0,,,,47,2,9,1,1,,1,1,2,2,2,2,2,2,2,1,,2,2,1
01,,,,,,,4,2,1,5,1,,1,2,2,2,1,2,2,2,2,1,,,,0
21,1,25,0,6,4195,4710,57,1,1,1,2,1,1,2,1,2,2,2,2,2,2,5,1,1,,0
21,1,40,120000,1,0770,0220,45,1,9,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
16,6,,0,,,,76,1,1,3,1,,1,1,2,1,2,2,1,2,2,1,,2,,1
18,6,,0,,,,78,1,1,1,1,,1,1,2,1,1,2,2,2,2,1,,2,,0
21,1,40,237000,1,6970,0735,66,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,,2,,0
21,1,30,0,6,0770,6260,61,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,,2,,0
16,6,,0,1,5581,9130,45,1,2,5,1,,2,2,2,2,2,2,2,2,1,1,,2,,0
21,1,30,24000,1,6180,9122,67,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,,2,,0
21,6,30,300,1,7980,3640,26,2,8,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,2,0
21,1,5,1800,1,8470,3255,23,1,8,5,1,2,1,1,2,2,2,2,2,2,2,1,1,1,,0
20,1,48,70000,1,7980,8760,36,1,8,5,1,,1,1,2,2,2,2,2,2,2,1,1,1,,0
19,1,30,35700,1,4971,9645,33,1,9,1,2,2,2,2,2,2,2,2,2,2,2,5,1,1,,0
22,1,60,687000,1,6781,1530,42,1,8,1,1,1,1,2,2,2,1,2,2,2,2,1,,2,,0
20,6,,0,,,,94,2,1,2,1,,1,2,2,1,2,2,2,2,1,1,,2,,0
21,6,,0,,,,74,2,6,1,2,,1,1,2,1,2,2,2,2,2,4,1,1,,0
20,1,40,60000,4,9480,1006,49,2,6,1,2,1,1,1,2,2,2,2,2,2,2,4,1,1,2,0
17,6,10,4800,1,7460,1970,39,2,6,1,1,,1,2,1,2,2,2,2,2,2,1,1,1,1,0
20,1,10,0,6,7370,2634,45,1,1,3,1,1,1,1,1,2,2,2,2,2,2,1,,2,,0
16,1,40,24000,1,6170,9130,59,2,8,1,2,,2,2,2,2,2,2,2,2,2,4,2,1,,0
03,,,,,,,4,2,8,5,1,,1,2,2,2,1,2,2,2,2,1,,,,0
16,6,,0,1,4971,4720,41,2,1,3,1,,1,2,2,1,2,2,2,2,2,1,,2,1,0
,,,,,,,0,2,8,5,1,,1,2,2,2,1,2,2,2,2,1,,,,0
20,6,,0,,,,77,2,1,2,1,,1,2,1,1,2,2,2,2,2,1,,2,,0
15,6,,0,,,,19,1,8,5,1,,1,2,2,2,1,2,2,2,1,1,2,1,,1
01,6,,0,,,,66,2,9,1,2,,1,2,2,1,2,2,2,2,2,4,3,1,,0
21,3,,0,1,3990,1555,24,1,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
18,1,55,85000,1,7460,5940,27,1,8,5,1,1,1,1,2,2,2,2,2,2,1,1,1,1,,0
19,6,,0,,,,21,1,6,5,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
21,1,45,95000,1,1280,0800,26,2,6,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
22,2,15,22000,1,5276,7260,63,1,1,3,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
07,,,,,,,10,2,8,5,1,,1,1,2,2,2,2,2,2,2,1,1,1,,0
18,6,,0,,,,76,2,6,1,2,,1,2,2,1,2,2,2,2,1,4,2,1,,0
22,1,20,19000,2,0570,1745,71,1,1,1,1,,1,1,2,1,2,2,2,2,2,1,,2,,0
15,1,60,120000,1,4280,7220,66,1,1,1,2,1,1,1,2,2,2,2,2,2,2,4,1,1,,0
21,6,,0,6,7370,2634,63,2,6,5,1,,1,2,2,2,1,2,2,2,2,1,,2,,1
20,6,,0,3,9370,3725,64,1,1,1,2,,1,2,2,2,1,2,2,2,1,4,,2,,0
22,1,50,245000,1,0770,4920,46,1,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
17,1,40,95000,1,3291,1460,64,2,8,5,2,1,1,1,2,2,2,2,2,2,1,4,2,1,,0
03,,,,,,,5,1,9,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
16,6,,0,1,5171,4510,45,2,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
16,6,,0,,,,78,1,1,5,1,,1,2,1,1,2,2,2,2,2,1,,2,,0
19,1,30,17000,1,7860,2545,21,2,9,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
21,1,40,120000,3,9370,1530,61,1,9,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,,0
07,,,,,,,9,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
20,1,40,80000,3,0680,7340,29,1,8,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
15,1,40,65000,1,7480,0845,33,1,1,5,1,1,2,2,2,2,2,2,2,2,2,1,,2,,0
21,1,40,50000,1,6570,2710,27,1,6,5,1,1,1,1,2,2,2,2,2,2,2,1,1,1,,0
21,1,4,11000,3,7860,2002,67,2,9,1,1,,1,2,1,1,2,2,2,2,2,1,,2,,0
21,1,40,53000,3,8370,2016,32,2,9,5,2,,1,1,2,2,2,2,2,2,2,4,1,1,2,0
21,1,40,144000,7,4270,4710,54,2,9,1,2,1,1,1,1,2,2,2,2,2,2,4,2,1,,0
05,,,,,,,9,1,9,5,1,,1,2,2,1,1,2,2,2,2,1,,2,,1
21,6,,0,,,,79,1,3,2,1,,1,1,2,1,2,2,1,2,1,1,,2,,0
09,6,,0,,,,70,2,9,3,2,,1,2,2,1,2,2,2,2,1,4,1,1,,0
20,1,40,50000,1,1090,9640,33,2,6,5,2,1,1,1,2,2,2,2,2,2,2,5,3,1,2,0
