RELSHIPP,SCHL,SCH,SCHG,ESR,WKHP,WAGP,COW,INDP,OCCP,AGEP,SEX,RAC1P,HISP,MAR,NATIVITY,CIT,ENG,LANX,DRIVESP,JWMNP,JWTRNS,HICOV,PRIVCOV,PUBCOV,DIS,DEAR,DEYE,DPHY,FER,PINCP,SEMP,SSIP,SSP,poverty_status
20,19,1,,6,,0,,,,72,2,2,01,2,1,1,,2,,,,1,2,1,1,2,1,1,,14100,0,0,14100,0
20,16,1,,1,60,52000,4,9480,3602,57,2,3,02,3,2,5,1,1,3,60,01,1,2,1,2,2,2,2,,52000,0,0,0,0
30,02,2,02,,,,,,,5,1,2,01,5,1,1,1,1,,,,1,2,1,2,2,2,2,,,,,,0
25,03,2,02,,,,,,,6,1,1,01,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
20,21,1,,1,40,53000,1,6871,0120,30,2,6,01,5,2,4,2,1,1,8,01,1,1,2,2,2,2,2,2,53000,0,0,0,0
20,01,1,,1,40,49000,1,6390,9130,64,1,8,02,1,2,4,3,1,1,17,01,1,1,2,2,2,2,2,,79000,0,0,0,0
31,16,1,,6,,0,,,,85,2,1,01,2,1,1,,2,,,,1,2,1,2,2,2,2,,2000,0,0,2000,0
21,21,1,,6,,0,,,,67,2,1,01,1,2,4,,2,,,,1,2,1,2,2,2,2,,15600,0,0,15600,0
21,01,1,,1,6,7500,1,8090,3603,33,2,7,01,1,1,1,2,1,1,20,01,1,1,2,2,2,2,2,2,7500,0,0,0,0
20,21,1,,1,20,12000,1,6190,9142,48,1,6,01,1,2,5,2,1,,25,12,1,1,2,2,2,2,2,,12000,0,0,0,1
25,14,2,13,1,40,10000,1,8680,4055,17,2,1,01,5,1,1,,2,1,28,01,1,1,2,2,2,2,2,2,10000,0,0,0,0
20,22,1,,1,32,72000,2,8270,2040,65,2,1,01,1,1,1,,2,,,11,1,1,1,1,1,2,2,,82000,10000,0,0,0
25,05,2,05,,,,,,,8,2,3,01,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
20,19,1,,1,40,100000,1,3960,0530,61,2,6,01,2,2,4,1,1,2,20,01,1,1,2,2,2,2,2,,100000,0,0,0,0
25,19,1,,1,50,51000,1,8660,4040,40,2,8,02,3,1,1,1,1,1,30,01,1,2,1,2,2,2,2,2,51000,0,0,0,0
36,16,1,,1,30,6700,1,6380,5610,18,1,9,02,5,1,1,,2,1,15,01,1,1,2,2,2,2,2,,6700,0,0,0,1
20,20,1,,6,,0,,,,63,2,2,01,1,1,1,,2,,,,1,1,1,1,2,2,2,,13700,0,0,13700,0
32,20,1,,6,,0,1,5392,9645,27,1,8,02,1,1,1,1,1,,,,2,2,2,1,1,1,1,,0,0,0,0,1
30,03,3,02,,,,,,,5,1,9,01,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
25,,,,,,,,,,0,1,1,01,5,1,1,,,,,,1,1,2,2,2,2,,,,,,,0
21,22,1,,6,,0,,,,72,1,1,01,1,1,1,,2,,,,1,2,1,2,2,2,2,,25400,0,0,15400,0
25,06,2,06,,,,,,,9,2,1,01,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
38,20,1,,6,,0,,,,30,2,1,11,5,2,5,1,1,,,,1,2,1,1,2,2,1,2,9600,0,9600,0,1
20,16,1,,6,,0,,,,84,1,1,01,1,1,1,,2,,,,1,1,1,2,2,2,2,,37300,0,0,16000,0
21,20,1,,6,,0,1,8660,5300,38,1,1,01,1,1,1,,2,,,,1,1,2,2,2,2,2,,0,0,0,0,0
21,20,1,,6,40,35000,4,8191,3255,68,2,1,01,1,1,1,,2,,,,1,1,1,2,2,2,2,,54600,0,0,11700,0
20,16,1,,6,,0,,,,73,2,1,01,2,1,1,,2,,,,1,1,1,1,2,2,1,,36000,0,0,23000,0
20,19,1,,6,,0,,,,84,2,1,01,2,1,1,,2,,,,1,1,1,1,1,2,2,,32020,0,0,14700,0
25,19,2,15,6,,0,1,7370,2640,19,1,8,02,5,1,1,1,1,,,,1,1,2,2,2,2,2,,0,0,0,0,0
